ID,Self_brand_promotion_video,Brand_partnership,Age_restriction,max_video_quality,Video_title,Video_category,Monetization,video_type,Posting_date,Video_of_influencer,Links_present,Video_duration,Subtitles_present,Video_language,No_of_comments,Mentions,Hashtags,No_of_likes,Does_post_include_others_social_media_details,no_of_views,video_link,sponsor_name,video_contains_Pramotion,Content_type
78,1,1,1,1080p,"#collaboration with @royalstagliveitlarge",Ad,1,Shortvideo,2023-10-08,1,1,00:00:56,0,Hindi,231,@royalstagliveitlarge,"#shorts #bgmi #gaming",8790,1,59578,https://youtube.com/shorts/qp7iTan2ub8?si=v5y3SRsmxqxvkY-I,Royalstag,1,Ad
79,0,0,0,1080p,"Car Spray Is Total Bliss 😍",Gaming,1,Shortvideo,2023-10-08,1,1,00:00:20,0,Hindi,86,,"#shorts #bgmi #gaming",18118,1,157487,https://youtube.com/shorts/p0xQ99CjByE?si=BIDozyktogFSpDsw,,0,Game
80,0,0,0,1080p,"Spray Check In Scrims | 357m Knock 😱🤯",Gaming,1,Shortvideo,2023-10-07,1,1,00:00:20,0,Hindi,86,,"#shorts #bgmi #gaming",15379,1,120490,https://youtube.com/shorts/Z6rY_DqfE6Y?si=qRft_bn_4rvIJ0gm,,0,Game
81,0,0,0,1080p,"Dont Be Cheeky In My Home 😡",Gaming,1,Shortvideo,2023-10-06,1,1,00:00:56,0,Hindi,54,,"#shorts #bgmi #gaming",12269,1,118038,https://youtube.com/shorts/N_SW6laNBlQ?si=E4CP5fMInw9ANSxt,,0,Game
82,0,0,0,1080p,"Kishto Me Aaye Aur Kishto Me Chale Gye | 1v ?",Gaming,1,Shortvideo,2023-10-04,1,1,00:00:43,0,Hindi,72,,"#shorts #bgmi #gaming",14442,1,115216,https://youtube.com/shorts/bhNMu2uizXQ?si=EHSwfvaO708-kYFz,,0,Game
83,0,0,0,1080p,"Tutorial Of How To Not Play 🥲",Gaming,1,Shortvideo,2023-10-03,1,1,00:00:27,0,Hindi,42,,"#shorts #bgmi #gaming",11904,1,83257,https://youtube.com/shorts/-vVKMTqFnmg?si=t4-AlDTTPVAuh72j,,0,Game
84,0,0,0,1080p,"That Devil Laugh After Clutch 👿😂",Gaming,1,Shortvideo,2023-10-02,1,1,00:00:35,0,Hindi,71,,"#shorts #bgmi #gaming",19319,1,144769,https://youtube.com/shorts/y3VnrnMNwmI?si=FqrGBZoYDIr3XPqN,,0,Game
85,0,0,0,1440p,"COUNTER STRIKE 2 | BGMI DONE | Scout is Live",Gaming,1,Livestream,2023-09-30,1,1,04:58:48,0,Hindi,49,,"#shorts #bgmi #gaming",19520,1,240244,https://www.youtube.com/live/u8DkAsW3bOQ?si=3c_NTnKnsBgXW_Wr,,0,Game
86,0,0,0,1440p,"COUNTER STRIKE 2 | WZ mobile BGMI DONE | sc0ut is LIVE",Gaming,1,Livestream,2023-09-29,1,1,05:24:41,0,Hindi,75,,"#shorts #bgmi #gaming",20983,1,258422,https://www.youtube.com/live/ouOMLgrDyss?si=ZLeB03HDlBuhOwID,,0,Game
87,0,0,0,1440p,"SCOUT VS MORTAL : THE BATTLE OF GIANTS IN @RAIDERSIXOFFICIAL | Live",Gaming,1,Livestream,2023-09-27,1,1,02:00:52,0,Hindi,75,,"#shorts #bgmi #gaming",30390,1,123010,https://www.youtube.com/live/Y1aZMoIelVc?si=R9FeoROuCVmOPUNf,,0,Game
